run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,236,999988.0000,37.0000,8282.1516,13.6250,0.0000,0.0000,37.0000,8282.1516,0.0000,13.6250,386131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.2609,0.0000,3.2609,0.0000,0.0000
rd1,237,999988.0000,17.0000,10688.9885,7.7813,0.0000,0.0000,17.0000,10688.9885,0.0000,7.7813,479954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,5.2632,1.0526,4.2105,0.0000,0.0000
rd1,238,999988.0000,37.0000,9534.9342,14.8750,0.0000,0.0000,37.0000,9534.9342,0.0000,14.8750,421555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.1915,1.0638,2.1277,0.0000,0.0000
rd1,239,999988.0000,34.0000,5440.9975,7.8555,0.0000,0.0000,34.0000,5440.9975,0.0000,7.8555,242266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,1.1364,0.0000,1.1364,0.0000,0.0000
rd1,240,999988.0000,38.0000,7554.4651,12.0859,0.0000,0.0000,38.0000,7554.4651,0.0000,12.0859,333500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,4.4444,0.0000,4.4444,0.0000,0.0000
rd1,241,999988.0000,46.0000,6815.3271,13.1172,0.0000,0.0000,46.0000,6815.3271,0.0000,13.1172,299008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.7037,0.7407,2.9630,0.0000,0.0000
rd1,242,999988.0000,47.0000,5649.8194,11.5469,0.0000,0.0000,47.0000,5649.8194,0.0000,11.5469,257612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,5.5556,1.8519,3.7037,0.0000,0.0000
rd1,243,999988.0000,25.0000,7139.5328,7.7695,0.0000,0.0000,25.0000,7139.5328,0.0000,7.7695,325877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,2.0833,0.0000,2.0833,0.0000,0.0000
rd1,244,999988.0000,31.0000,7716.7975,10.1133,0.0000,0.0000,31.0000,7716.7975,0.0000,10.1133,342082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,2.1053,0.0000,2.1053,0.0000,0.0000
rd1,245,999988.0000,55.0000,6260.7950,14.6914,0.0000,0.0000,55.0000,6260.7950,0.0000,14.6914,280091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,4.3011,2.1505,2.1505,0.0000,0.0000
rd1,246,999988.0000,43.0000,6598.6126,12.2578,0.0000,0.0000,43.0000,6598.6126,0.0000,12.2578,298912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,2.2222,0.0000,2.2222,0.0000,0.0000
rd1,247,999988.0000,47.0000,6223.7497,12.7109,0.0000,0.0000,47.0000,6223.7497,0.0000,12.7109,283582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,5.2632,2.1053,3.1579,0.0000,0.0000
rd1,248,999988.0000,35.0000,3798.6203,5.3633,0.0000,0.0000,35.0000,3798.6203,0.0000,5.3633,160680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,4.2553,2.1277,2.1277,0.0000,0.0000
rd1,249,999988.0000,26.0000,4613.6010,5.0117,0.0000,0.0000,26.0000,4613.6010,0.0000,5.0117,202121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.2258,0.0000,3.2258,0.0000,0.0000
rd1,250,999988.0000,33.0000,9803.2356,13.3555,0.0000,0.0000,33.0000,9803.2356,0.0000,13.3555,424370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,2.1505,0.0000,2.1505,0.0000,0.0000
rd1,251,999988.0000,37.0000,6140.2751,9.3594,0.0000,0.0000,37.0000,6140.2751,0.0000,9.3594,265243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,4.3011,1.0753,3.2258,0.0000,0.0000
rd1,252,999988.0000,33.0000,10161.8702,13.9531,0.0000,0.0000,33.0000,10161.8702,0.0000,13.9531,443360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,4.1667,1.0417,3.1250,0.0000,0.0000
rd1,253,999988.0000,15.0000,6276.3427,4.3633,0.0000,0.0000,15.0000,6276.3427,0.0000,4.3633,305015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.1250,1.0417,2.0833,0.0000,0.0000
rd1,254,999988.0000,36.0000,8878.7098,15.3594,0.0000,0.0000,36.0000,8878.7098,0.0000,15.3594,447374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0430,1.0000,0.0280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,4.5455,0.0000,4.5455,0.0000,0.0000
